site_id,well_id,cell_type,experiment,plate,well,site,treatment,treatment_conc,treatment_class,directory,class,label
HUVEC-2_6_P02_3,HUVEC-2_6_P02,HUVEC,HUVEC-2,6,P02,3,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate6/P02_s3,Cytokine-GF,0
HUVEC-2_6_P02_4,HUVEC-2_6_P02,HUVEC,HUVEC-2,6,P02,4,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate6/P02_s4,Cytokine-GF,0
HUVEC-2_6_T44_1,HUVEC-2_6_T44,HUVEC,HUVEC-2,6,T44,1,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate6/T44_s1,Cytokine-GF,0
HUVEC-2_6_T44_2,HUVEC-2_6_T44,HUVEC,HUVEC-2,6,T44,2,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate6/T44_s2,Cytokine-GF,0
HUVEC-2_6_T44_3,HUVEC-2_6_T44,HUVEC,HUVEC-2,6,T44,3,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate6/T44_s3,Cytokine-GF,0
HUVEC-2_6_T44_4,HUVEC-2_6_T44,HUVEC,HUVEC-2,6,T44,4,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate6/T44_s4,Cytokine-GF,0
HUVEC-2_6_X04_1,HUVEC-2_6_X04,HUVEC,HUVEC-2,6,X04,1,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate6/X04_s1,Cytokine-GF,0
HUVEC-2_6_X04_2,HUVEC-2_6_X04,HUVEC,HUVEC-2,6,X04,2,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate6/X04_s2,Cytokine-GF,0
HUVEC-2_6_X04_3,HUVEC-2_6_X04,HUVEC,HUVEC-2,6,X04,3,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate6/X04_s3,Cytokine-GF,0
HUVEC-2_6_X04_4,HUVEC-2_6_X04,HUVEC,HUVEC-2,6,X04,4,Activin-A,0.0009999999999999,Growth factor,HUVEC-2/Plate6/X04_s4,Cytokine-GF,0
HUVEC-1_3_AC10_1,HUVEC-1_3_AC10,HUVEC,HUVEC-1,3,AC10,1,Activin-A,0.01,Growth factor,HUVEC-1/Plate3/AC10_s1,Cytokine-GF,0
HUVEC-1_3_AC10_2,HUVEC-1_3_AC10,HUVEC,HUVEC-1,3,AC10,2,Activin-A,0.01,Growth factor,HUVEC-1/Plate3/AC10_s2,Cytokine-GF,0
HUVEC-1_3_AC10_3,HUVEC-1_3_AC10,HUVEC,HUVEC-1,3,AC10,3,Activin-A,0.01,Growth factor,HUVEC-1/Plate3/AC10_s3,Cytokine-GF,0
HUVEC-1_3_AC10_4,HUVEC-1_3_AC10,HUVEC,HUVEC-1,3,AC10,4,Activin-A,0.01,Growth factor,HUVEC-1/Plate3/AC10_s4,Cytokine-GF,0
HUVEC-1_3_D27_1,HUVEC-1_3_D27,HUVEC,HUVEC-1,3,D27,1,Activin-A,0.01,Growth factor,HUVEC-1/Plate3/D27_s1,Cytokine-GF,0
HUVEC-1_3_D27_2,HUVEC-1_3_D27,HUVEC,HUVEC-1,3,D27,2,Activin-A,0.01,Growth factor,HUVEC-1/Plate3/D27_s2,Cytokine-GF,0
HUVEC-1_3_D27_3,HUVEC-1_3_D27,HUVEC,HUVEC-1,3,D27,3,Activin-A,0.01,Growth factor,HUVEC-1/Plate3/D27_s3,Cytokine-GF,0
HUVEC-1_3_D27_4,HUVEC-1_3_D27,HUVEC,HUVEC-1,3,D27,4,Activin-A,0.01,Growth factor,HUVEC-1/Plate3/D27_s4,Cytokine-GF,0
HUVEC-1_3_Z43_1,HUVEC-1_3_Z43,HUVEC,HUVEC-1,3,Z43,1,Activin-A,0.01,Growth factor,HUVEC-1/Plate3/Z43_s1,Cytokine-GF,0
HUVEC-1_3_Z43_2,HUVEC-1_3_Z43,HUVEC,HUVEC-1,3,Z43,2,Activin-A,0.01,Growth factor,HUVEC-1/Plate3/Z43_s2,Cytokine-GF,0
HUVEC-1_3_Z43_3,HUVEC-1_3_Z43,HUVEC,HUVEC-1,3,Z43,3,Activin-A,0.01,Growth factor,HUVEC-1/Plate3/Z43_s3,Cytokine-GF,0
HUVEC-1_3_Z43_4,HUVEC-1_3_Z43,HUVEC,HUVEC-1,3,Z43,4,Activin-A,0.01,Growth factor,HUVEC-1/Plate3/Z43_s4,Cytokine-GF,0
HUVEC-1_4_N13_1,HUVEC-1_4_N13,HUVEC,HUVEC-1,4,N13,1,Activin-A,0.01,Growth factor,HUVEC-1/Plate4/N13_s1,Cytokine-GF,0
HUVEC-1_4_N13_2,HUVEC-1_4_N13,HUVEC,HUVEC-1,4,N13,2,Activin-A,0.01,Growth factor,HUVEC-1/Plate4/N13_s2,Cytokine-GF,0
HUVEC-1_4_N13_3,HUVEC-1_4_N13,HUVEC,HUVEC-1,4,N13,3,Activin-A,0.01,Growth factor,HUVEC-1/Plate4/N13_s3,Cytokine-GF,0
HUVEC-1_4_N13_4,HUVEC-1_4_N13,HUVEC,HUVEC-1,4,N13,4,Activin-A,0.01,Growth factor,HUVEC-1/Plate4/N13_s4,Cytokine-GF,0
HUVEC-1_4_P29_1,HUVEC-1_4_P29,HUVEC,HUVEC-1,4,P29,1,Activin-A,0.01,Growth factor,HUVEC-1/Plate4/P29_s1,Cytokine-GF,0
HUVEC-1_4_P29_2,HUVEC-1_4_P29,HUVEC,HUVEC-1,4,P29,2,Activin-A,0.01,Growth factor,HUVEC-1/Plate4/P29_s2,Cytokine-GF,0
HUVEC-1_4_P29_3,HUVEC-1_4_P29,HUVEC,HUVEC-1,4,P29,3,Activin-A,0.01,Growth factor,HUVEC-1/Plate4/P29_s3,Cytokine-GF,0
HUVEC-1_4_P29_4,HUVEC-1_4_P29,HUVEC,HUVEC-1,4,P29,4,Activin-A,0.01,Growth factor,HUVEC-1/Plate4/P29_s4,Cytokine-GF,0
HUVEC-1_4_Z34_1,HUVEC-1_4_Z34,HUVEC,HUVEC-1,4,Z34,1,Activin-A,0.01,Growth factor,HUVEC-1/Plate4/Z34_s1,Cytokine-GF,0
HUVEC-1_4_Z34_2,HUVEC-1_4_Z34,HUVEC,HUVEC-1,4,Z34,2,Activin-A,0.01,Growth factor,HUVEC-1/Plate4/Z34_s2,Cytokine-GF,0
HUVEC-1_4_Z34_3,HUVEC-1_4_Z34,HUVEC,HUVEC-1,4,Z34,3,Activin-A,0.01,Growth factor,HUVEC-1/Plate4/Z34_s3,Cytokine-GF,0
HUVEC-1_4_Z34_4,HUVEC-1_4_Z34,HUVEC,HUVEC-1,4,Z34,4,Activin-A,0.01,Growth factor,HUVEC-1/Plate4/Z34_s4,Cytokine-GF,0
HUVEC-2_3_S20_1,HUVEC-2_3_S20,HUVEC,HUVEC-2,3,S20,1,Activin-A,0.01,Growth factor,HUVEC-2/Plate3/S20_s1,Cytokine-GF,0
HUVEC-2_3_S20_2,HUVEC-2_3_S20,HUVEC,HUVEC-2,3,S20,2,Activin-A,0.01,Growth factor,HUVEC-2/Plate3/S20_s2,Cytokine-GF,0
HUVEC-2_3_S20_3,HUVEC-2_3_S20,HUVEC,HUVEC-2,3,S20,3,Activin-A,0.01,Growth factor,HUVEC-2/Plate3/S20_s3,Cytokine-GF,0
HUVEC-2_3_S20_4,HUVEC-2_3_S20,HUVEC,HUVEC-2,3,S20,4,Activin-A,0.01,Growth factor,HUVEC-2/Plate3/S20_s4,Cytokine-GF,0
HUVEC-2_3_S43_1,HUVEC-2_3_S43,HUVEC,HUVEC-2,3,S43,1,Activin-A,0.01,Growth factor,HUVEC-2/Plate3/S43_s1,Cytokine-GF,0
HUVEC-2_3_S43_2,HUVEC-2_3_S43,HUVEC,HUVEC-2,3,S43,2,Activin-A,0.01,Growth factor,HUVEC-2/Plate3/S43_s2,Cytokine-GF,0
HUVEC-2_3_S43_3,HUVEC-2_3_S43,HUVEC,HUVEC-2,3,S43,3,Activin-A,0.01,Growth factor,HUVEC-2/Plate3/S43_s3,Cytokine-GF,0
HUVEC-2_3_S43_4,HUVEC-2_3_S43,HUVEC,HUVEC-2,3,S43,4,Activin-A,0.01,Growth factor,HUVEC-2/Plate3/S43_s4,Cytokine-GF,0
HUVEC-2_3_Y10_1,HUVEC-2_3_Y10,HUVEC,HUVEC-2,3,Y10,1,Activin-A,0.01,Growth factor,HUVEC-2/Plate3/Y10_s1,Cytokine-GF,0
HUVEC-2_3_Y10_2,HUVEC-2_3_Y10,HUVEC,HUVEC-2,3,Y10,2,Activin-A,0.01,Growth factor,HUVEC-2/Plate3/Y10_s2,Cytokine-GF,0
HUVEC-2_3_Y10_3,HUVEC-2_3_Y10,HUVEC,HUVEC-2,3,Y10,3,Activin-A,0.01,Growth factor,HUVEC-2/Plate3/Y10_s3,Cytokine-GF,0
HUVEC-2_3_Y10_4,HUVEC-2_3_Y10,HUVEC,HUVEC-2,3,Y10,4,Activin-A,0.01,Growth factor,HUVEC-2/Plate3/Y10_s4,Cytokine-GF,0
HUVEC-2_4_AE39_1,HUVEC-2_4_AE39,HUVEC,HUVEC-2,4,AE39,1,Activin-A,0.01,Growth factor,HUVEC-2/Plate4/AE39_s1,Cytokine-GF,0
HUVEC-2_4_AE39_2,HUVEC-2_4_AE39,HUVEC,HUVEC-2,4,AE39,2,Activin-A,0.01,Growth factor,HUVEC-2/Plate4/AE39_s2,Cytokine-GF,0
HUVEC-2_4_AE39_3,HUVEC-2_4_AE39,HUVEC,HUVEC-2,4,AE39,3,Activin-A,0.01,Growth factor,HUVEC-2/Plate4/AE39_s3,Cytokine-GF,0
HUVEC-2_4_AE39_4,HUVEC-2_4_AE39,HUVEC,HUVEC-2,4,AE39,4,Activin-A,0.01,Growth factor,HUVEC-2/Plate4/AE39_s4,Cytokine-GF,0
HUVEC-2_4_I41_1,HUVEC-2_4_I41,HUVEC,HUVEC-2,4,I41,1,Activin-A,0.01,Growth factor,HUVEC-2/Plate4/I41_s1,Cytokine-GF,0
HUVEC-2_4_I41_2,HUVEC-2_4_I41,HUVEC,HUVEC-2,4,I41,2,Activin-A,0.01,Growth factor,HUVEC-2/Plate4/I41_s2,Cytokine-GF,0
HUVEC-2_4_I41_3,HUVEC-2_4_I41,HUVEC,HUVEC-2,4,I41,3,Activin-A,0.01,Growth factor,HUVEC-2/Plate4/I41_s3,Cytokine-GF,0
HUVEC-2_4_I41_4,HUVEC-2_4_I41,HUVEC,HUVEC-2,4,I41,4,Activin-A,0.01,Growth factor,HUVEC-2/Plate4/I41_s4,Cytokine-GF,0
HUVEC-2_4_Z35_1,HUVEC-2_4_Z35,HUVEC,HUVEC-2,4,Z35,1,Activin-A,0.01,Growth factor,HUVEC-2/Plate4/Z35_s1,Cytokine-GF,0
HUVEC-2_4_Z35_2,HUVEC-2_4_Z35,HUVEC,HUVEC-2,4,Z35,2,Activin-A,0.01,Growth factor,HUVEC-2/Plate4/Z35_s2,Cytokine-GF,0
HUVEC-2_4_Z35_3,HUVEC-2_4_Z35,HUVEC,HUVEC-2,4,Z35,3,Activin-A,0.01,Growth factor,HUVEC-2/Plate4/Z35_s3,Cytokine-GF,0
HUVEC-2_4_Z35_4,HUVEC-2_4_Z35,HUVEC,HUVEC-2,4,Z35,4,Activin-A,0.01,Growth factor,HUVEC-2/Plate4/Z35_s4,Cytokine-GF,0
HUVEC-1_1_AD39_1,HUVEC-1_1_AD39,HUVEC,HUVEC-1,1,AD39,1,Activin-A,0.1,Growth factor,HUVEC-1/Plate1/AD39_s1,Cytokine-GF,0
HUVEC-1_1_AD39_2,HUVEC-1_1_AD39,HUVEC,HUVEC-1,1,AD39,2,Activin-A,0.1,Growth factor,HUVEC-1/Plate1/AD39_s2,Cytokine-GF,0
HUVEC-1_1_AD39_3,HUVEC-1_1_AD39,HUVEC,HUVEC-1,1,AD39,3,Activin-A,0.1,Growth factor,HUVEC-1/Plate1/AD39_s3,Cytokine-GF,0
HUVEC-1_1_AD39_4,HUVEC-1_1_AD39,HUVEC,HUVEC-1,1,AD39,4,Activin-A,0.1,Growth factor,HUVEC-1/Plate1/AD39_s4,Cytokine-GF,0
HUVEC-1_1_AE27_1,HUVEC-1_1_AE27,HUVEC,HUVEC-1,1,AE27,1,Activin-A,0.1,Growth factor,HUVEC-1/Plate1/AE27_s1,Cytokine-GF,0
HUVEC-1_1_AE27_2,HUVEC-1_1_AE27,HUVEC,HUVEC-1,1,AE27,2,Activin-A,0.1,Growth factor,HUVEC-1/Plate1/AE27_s2,Cytokine-GF,0
HUVEC-1_1_AE27_3,HUVEC-1_1_AE27,HUVEC,HUVEC-1,1,AE27,3,Activin-A,0.1,Growth factor,HUVEC-1/Plate1/AE27_s3,Cytokine-GF,0
HUVEC-1_1_AE27_4,HUVEC-1_1_AE27,HUVEC,HUVEC-1,1,AE27,4,Activin-A,0.1,Growth factor,HUVEC-1/Plate1/AE27_s4,Cytokine-GF,0
HUVEC-1_1_H13_1,HUVEC-1_1_H13,HUVEC,HUVEC-1,1,H13,1,Activin-A,0.1,Growth factor,HUVEC-1/Plate1/H13_s1,Cytokine-GF,0
HUVEC-1_1_H13_2,HUVEC-1_1_H13,HUVEC,HUVEC-1,1,H13,2,Activin-A,0.1,Growth factor,HUVEC-1/Plate1/H13_s2,Cytokine-GF,0
HUVEC-1_1_H13_3,HUVEC-1_1_H13,HUVEC,HUVEC-1,1,H13,3,Activin-A,0.1,Growth factor,HUVEC-1/Plate1/H13_s3,Cytokine-GF,0
HUVEC-1_1_H13_4,HUVEC-1_1_H13,HUVEC,HUVEC-1,1,H13,4,Activin-A,0.1,Growth factor,HUVEC-1/Plate1/H13_s4,Cytokine-GF,0
HUVEC-1_2_G07_1,HUVEC-1_2_G07,HUVEC,HUVEC-1,2,G07,1,Activin-A,0.1,Growth factor,HUVEC-1/Plate2/G07_s1,Cytokine-GF,0
HUVEC-1_2_G07_2,HUVEC-1_2_G07,HUVEC,HUVEC-1,2,G07,2,Activin-A,0.1,Growth factor,HUVEC-1/Plate2/G07_s2,Cytokine-GF,0
HUVEC-1_2_G07_3,HUVEC-1_2_G07,HUVEC,HUVEC-1,2,G07,3,Activin-A,0.1,Growth factor,HUVEC-1/Plate2/G07_s3,Cytokine-GF,0
HUVEC-1_2_G07_4,HUVEC-1_2_G07,HUVEC,HUVEC-1,2,G07,4,Activin-A,0.1,Growth factor,HUVEC-1/Plate2/G07_s4,Cytokine-GF,0
HUVEC-1_2_K02_1,HUVEC-1_2_K02,HUVEC,HUVEC-1,2,K02,1,Activin-A,0.1,Growth factor,HUVEC-1/Plate2/K02_s1,Cytokine-GF,0
HUVEC-1_2_K02_2,HUVEC-1_2_K02,HUVEC,HUVEC-1,2,K02,2,Activin-A,0.1,Growth factor,HUVEC-1/Plate2/K02_s2,Cytokine-GF,0
HUVEC-1_2_K02_3,HUVEC-1_2_K02,HUVEC,HUVEC-1,2,K02,3,Activin-A,0.1,Growth factor,HUVEC-1/Plate2/K02_s3,Cytokine-GF,0
HUVEC-1_2_K02_4,HUVEC-1_2_K02,HUVEC,HUVEC-1,2,K02,4,Activin-A,0.1,Growth factor,HUVEC-1/Plate2/K02_s4,Cytokine-GF,0
HUVEC-1_2_S02_1,HUVEC-1_2_S02,HUVEC,HUVEC-1,2,S02,1,Activin-A,0.1,Growth factor,HUVEC-1/Plate2/S02_s1,Cytokine-GF,0
HUVEC-1_2_S02_2,HUVEC-1_2_S02,HUVEC,HUVEC-1,2,S02,2,Activin-A,0.1,Growth factor,HUVEC-1/Plate2/S02_s2,Cytokine-GF,0
HUVEC-1_2_S02_3,HUVEC-1_2_S02,HUVEC,HUVEC-1,2,S02,3,Activin-A,0.1,Growth factor,HUVEC-1/Plate2/S02_s3,Cytokine-GF,0
HUVEC-1_2_S02_4,HUVEC-1_2_S02,HUVEC,HUVEC-1,2,S02,4,Activin-A,0.1,Growth factor,HUVEC-1/Plate2/S02_s4,Cytokine-GF,0
HUVEC-2_1_Q29_1,HUVEC-2_1_Q29,HUVEC,HUVEC-2,1,Q29,1,Activin-A,0.1,Growth factor,HUVEC-2/Plate1/Q29_s1,Cytokine-GF,0
HUVEC-2_1_Q29_2,HUVEC-2_1_Q29,HUVEC,HUVEC-2,1,Q29,2,Activin-A,0.1,Growth factor,HUVEC-2/Plate1/Q29_s2,Cytokine-GF,0
HUVEC-2_1_Q29_3,HUVEC-2_1_Q29,HUVEC,HUVEC-2,1,Q29,3,Activin-A,0.1,Growth factor,HUVEC-2/Plate1/Q29_s3,Cytokine-GF,0
HUVEC-2_1_Q29_4,HUVEC-2_1_Q29,HUVEC,HUVEC-2,1,Q29,4,Activin-A,0.1,Growth factor,HUVEC-2/Plate1/Q29_s4,Cytokine-GF,0
HUVEC-2_1_S18_1,HUVEC-2_1_S18,HUVEC,HUVEC-2,1,S18,1,Activin-A,0.1,Growth factor,HUVEC-2/Plate1/S18_s1,Cytokine-GF,0
HUVEC-2_1_S18_2,HUVEC-2_1_S18,HUVEC,HUVEC-2,1,S18,2,Activin-A,0.1,Growth factor,HUVEC-2/Plate1/S18_s2,Cytokine-GF,0
HUVEC-2_1_S18_3,HUVEC-2_1_S18,HUVEC,HUVEC-2,1,S18,3,Activin-A,0.1,Growth factor,HUVEC-2/Plate1/S18_s3,Cytokine-GF,0
HUVEC-2_1_S18_4,HUVEC-2_1_S18,HUVEC,HUVEC-2,1,S18,4,Activin-A,0.1,Growth factor,HUVEC-2/Plate1/S18_s4,Cytokine-GF,0
HUVEC-2_1_X05_1,HUVEC-2_1_X05,HUVEC,HUVEC-2,1,X05,1,Activin-A,0.1,Growth factor,HUVEC-2/Plate1/X05_s1,Cytokine-GF,0
HUVEC-2_1_X05_2,HUVEC-2_1_X05,HUVEC,HUVEC-2,1,X05,2,Activin-A,0.1,Growth factor,HUVEC-2/Plate1/X05_s2,Cytokine-GF,0
HUVEC-2_1_X05_3,HUVEC-2_1_X05,HUVEC,HUVEC-2,1,X05,3,Activin-A,0.1,Growth factor,HUVEC-2/Plate1/X05_s3,Cytokine-GF,0
HUVEC-2_1_X05_4,HUVEC-2_1_X05,HUVEC,HUVEC-2,1,X05,4,Activin-A,0.1,Growth factor,HUVEC-2/Plate1/X05_s4,Cytokine-GF,0
HUVEC-2_2_AA41_1,HUVEC-2_2_AA41,HUVEC,HUVEC-2,2,AA41,1,Activin-A,0.1,Growth factor,HUVEC-2/Plate2/AA41_s1,Cytokine-GF,0
HUVEC-2_2_AA41_2,HUVEC-2_2_AA41,HUVEC,HUVEC-2,2,AA41,2,Activin-A,0.1,Growth factor,HUVEC-2/Plate2/AA41_s2,Cytokine-GF,0
HUVEC-2_2_AA41_3,HUVEC-2_2_AA41,HUVEC,HUVEC-2,2,AA41,3,Activin-A,0.1,Growth factor,HUVEC-2/Plate2/AA41_s3,Cytokine-GF,0
HUVEC-2_2_AA41_4,HUVEC-2_2_AA41,HUVEC,HUVEC-2,2,AA41,4,Activin-A,0.1,Growth factor,HUVEC-2/Plate2/AA41_s4,Cytokine-GF,0
HUVEC-2_2_F15_1,HUVEC-2_2_F15,HUVEC,HUVEC-2,2,F15,1,Activin-A,0.1,Growth factor,HUVEC-2/Plate2/F15_s1,Cytokine-GF,0
HUVEC-2_2_F15_2,HUVEC-2_2_F15,HUVEC,HUVEC-2,2,F15,2,Activin-A,0.1,Growth factor,HUVEC-2/Plate2/F15_s2,Cytokine-GF,0
HUVEC-2_2_F15_3,HUVEC-2_2_F15,HUVEC,HUVEC-2,2,F15,3,Activin-A,0.1,Growth factor,HUVEC-2/Plate2/F15_s3,Cytokine-GF,0
HUVEC-2_2_F15_4,HUVEC-2_2_F15,HUVEC,HUVEC-2,2,F15,4,Activin-A,0.1,Growth factor,HUVEC-2/Plate2/F15_s4,Cytokine-GF,0
HUVEC-2_2_M26_1,HUVEC-2_2_M26,HUVEC,HUVEC-2,2,M26,1,Activin-A,0.1,Growth factor,HUVEC-2/Plate2/M26_s1,Cytokine-GF,0
